year,month,day,hour,flow_cfs,Source
1990,1,29,18,3980,USGS_12189500
1990,1,30,0,3890,USGS_12189500
1990,1,30,6,3700,USGS_12189500
1990,1,30,12,3510,USGS_12189500
1990,1,30,18,3370,USGS_12189500
1990,1,31,0,3260,USGS_12189500
1990,1,31,6,3110,USGS_12189500
1990,1,31,12,2980,USGS_12189500
1990,1,31,18,2890,USGS_12189500
1990,2,1,0,2810,USGS_12189500
1990,2,1,6,2790,USGS_12189500
1990,2,1,12,2720,USGS_12189500
1990,2,1,18,2660,USGS_12189500
1990,2,2,0,2620,USGS_12189500
1990,2,2,6,2640,USGS_12189500
1990,2,2,12,2700,USGS_12189500
1990,2,2,18,2830,USGS_12189500
1990,2,3,0,3040,USGS_12189500
1990,2,3,6,3150,USGS_12189500
1990,2,3,12,3630,USGS_12189500
1990,2,3,18,4480,USGS_12189500
1990,2,4,0,4380,USGS_12189500
1990,2,4,6,3980,USGS_12189500
1990,2,4,12,3670,USGS_12189500
1990,2,4,18,3420,USGS_12189500
1990,2,5,0,3300,USGS_12189500
1990,2,5,6,3280,USGS_12189500
1990,2,5,12,3400,USGS_12189500
1990,2,5,18,3440,USGS_12189500
1990,2,6,0,3370,USGS_12189500
1990,2,6,6,3240,USGS_12189500
1990,2,6,12,3080,USGS_12189500
1990,2,6,18,2930,USGS_12189500
1990,2,7,0,2850,USGS_12189500
1990,2,7,6,2790,USGS_12189500
1990,2,7,12,2680,USGS_12189500
1990,2,7,18,2700,USGS_12189500
1990,2,8,0,2660,USGS_12189500
1990,2,8,6,2580,USGS_12189500
1990,2,8,12,2480,USGS_12189500
1990,2,8,18,2430,USGS_12189500
1990,2,9,0,2370,USGS_12189500
1990,2,9,6,2320,USGS_12189500
1990,2,9,12,2440,USGS_12189500
1990,2,9,18,2950,USGS_12189500
1990,2,10,0,4150,USGS_12189500
1990,2,10,6,6570,USGS_12189500
1990,2,10,12,9440,USGS_12189500
1990,2,10,18,12100,USGS_12189500
1990,2,11,0,12800,USGS_12189500
1990,2,11,6,12000,USGS_12189500
1990,2,11,12,12700,USGS_12189500
1990,2,11,18,11300,USGS_12189500
1990,2,12,0,9220,USGS_12189500
1990,2,12,6,7900,USGS_12189500
1990,2,12,12,7060,USGS_12189500
1990,2,12,18,6390,USGS_12189500
1990,2,13,0,5810,USGS_12189500
1990,2,13,6,5330,USGS_12189500
1990,2,13,12,4900,USGS_12189500
1990,2,13,18,4610,USGS_12189500
1990,2,14,0,4300,USGS_12189500
1990,2,14,6,4080,USGS_12189500
1990,2,14,12,3860,USGS_12189500
1990,2,14,18,3700,USGS_12189500
1990,2,15,0,3650,USGS_12189500
1990,2,15,6,3530,USGS_12189500
1990,2,15,12,3490,USGS_12189500
1990,2,15,18,3370,USGS_12189500
1990,2,16,0,3280,USGS_12189500
1990,2,16,6,3190,USGS_12189500
1990,2,16,12,3080,USGS_12189500
1990,2,16,18,2950,USGS_12189500
1990,2,17,0,2870,USGS_12189500
